Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("1413"),,,,,," 1-(2-butoxy-1-methylethoxy)-2-propanol (CAS Reg. No. 29911-28-2).",," Berry Plastics Corporation"," Berry Plastics Corporation"," As a component of ink formulations for use on beverage cups made of polypropylene complying with 21 CFR 177.1520(c)(1.1a)."," The ink formulation containing the FCS will be reverse printed onto a polypropylene film layer prior to its lamination onto the non-food contact side of cellular polypropylene cups of 0.046 to 0.067 thickness. The cup may hold hot-fill (maximum 100&deg;C fill), cold, and frozen beverages/liquids, i.e. aqueous &amp; acidic and alcoholic (&le; 10% alcohol content) foods.",09/30/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1415"),,,,,," N-ethyl-o-toluenesulfonamide (CAS Reg. No. 1077-56-1).",," Berry Plastics Corporation"," Berry Plastics Corporation"," As a component of ink formulations for use on beverage cups made of polypropylene complying with 21 CFR 177.1520(c)(1.1a)."," The ink formulation containing the FCS will be applied at 0.093 g per 16-oz cup, reverse printed onto polypropylene film layer prior to its lamination onto the non-food contact side of cellular polypropylene cups of 0.046 to 0.067 thickness. The cup may hold hot-fill (maximum 93&deg;C fill), cold, and frozen beverages/liquids, i.e. aqueous &amp; acidic and alcoholic (&le; 10% alcohol content) foods.",07/12/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1417"),,,,,," Fatty acids, soya, epoxidized, 2-ethylhexyl esters (CAS Reg. No. 68082-34-8).",," Galata Chemicals"," Galata Chemicals"," The FCS is intended for use as a plasticizer in polyvinyl chloride, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS will be used in polyvinyl chloride at levels up to 15 percent by weight of the finished article in contact with food types I, II, IVB, VIA, VIB, VIC (up to 15% alcohol), VIIB, and VIII under Conditions of Use C through G. The FCS is not for use in contact with infant formula and breast milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/06/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1419"),,,,,,," REPLACED BY FCN 1806",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1420"),,,,,," 2,6-Pyridinedicarboxylic Acid (CAS Reg. No. 499-83-2).",," Ecolab, Inc."," Ecolab, Inc."," To stabilize peroxyacid equilibrium mixtures during storage (i.e., before dilution with water and subsequent use on food), for use on red meats such as beef and pork."," To be used at a maximum level of 0.7 ppm in the wash water.",07/14/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1421"),,,,,," Chlorine dioxide (CAS Reg. No. 10049-04-4).",," Clordisys Solutions, Inc."," Clordisys Solutions, Inc."," As an antimicrobial agent used to fumigate fruits and vegetables that are not raw agricultural commodities."," The FCS gas shall not exceed 3 ppm total residual in the air. Treated fruits and vegetables will be followed by air flush or by blanching, cooking, or canning.",07/01/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1422"),,,,,,," REPLACED BY FCN 1544",,,,,," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1423"),,,,,," Copolymers of ethylene glycol and isophthalic acid with dimethyl terephthalate (CAS Reg. No. 26006-30-4) or terephthalic acid (CAS Reg. No. 24938-04-3).",," INVISTA Resins & Fibers GmbH"," Indorama Ventures USA LLC and its Steward Affiliates Around the World"," To be used as articles or components of articles that may contact food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use in contact with all food types, under Conditions of Use A through H as described in Table 2. The use level of isophthalic acid (IPA) is (A) greater than 3 weight percent polymer units derived from ethylene from  ethylene isophthalate but less than 17 weight percent derived from ethylene isophthalate, or (B) greater than 23 weight percent up to a maximum of 38 weight percent from ethylene isophthalate, polymer units derived from ethyleneisophthalate. The high-IPA copolymers (>23%) will not be used in/on bottles. Adjuvant substances authorized under 21 CFR 177.1630 may be used in the FCS, in accordance with the use conditions and limitations prescribed. The FCS is not for use in contact with infant formula and breast milk. Such uses were not included as part of the intended use of the substance in the FCN.",06/03/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1426"),,,,,,," REPLACED BY FCN 2033",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1429"),,,,,,," REPLACED BY FCN 1545",,,,,," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("1430"),,,,,," An aqueous solution of hydrogen peroxide (CAS Reg. No. 7722-84-1) containing hydrogen peroxide at levels of up to 50%, manufactured and characterized as further described in the notification.",," PeroxyChem, LLC"," Evonik Active Oxygens, LLC"," As a sterilant/antimicrobial on aseptic polymeric food packaging material and on surfaces of aseptic food packaging equipment, except the FCS is not intended for use on food packaging material and/or aseptic food packaging equipment used with infant formula or breast milk."," The concentration of hydrogen peroxide in distilled water packaged under production conditions (assay to be performed immediately after packaging) must not exceed 0.5 parts per million (ppm) when the FCS is used as intended.  The FCS is not intended for use on food packaging material and/or aseptic food packaging equipment used with infant formula or breast milk.",06/27/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1432"),,,,,,," REPLACED BY FCN 1682",,,,,," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1433"),,,,,," [4-tert-butyl-2-(5-tert-butyl-2-oxo-3H-benzofuran-3-yl)phenyl] 3,5-di-tert-butyl-4-hydroxybenzoate (CAS Reg. No. 1261240-30-5).",," Chitec Technology Co., Ltd."," Chitec Technology Co., Ltd.<br>Double Bond Chemical Ind., Co., Ltd.<br>FDC, Lees Chemical Industry Co., Ltd."," To be blended with hindered phenolic and phosphite-based antioxidants to provide a synergistic effect in polypropylene resins for repeat-use pipes used to transport water only, except for use in contact with infant formula (see Limitations/Specifications)."," Food-contact polypropylene (PP)  may contain up to 200 ppm of the FCS and be used in contact with water only.  The FCS is not for use in contact with infant formula.  Such use was not included as part of  the intended use of the substance in the FCN.",07/10/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1434"),,,,,," Reaction product of hexamethylene diisocyanate trimer (CAS Reg. No. 3779-63-3) with poly[di(ethylene glycol)adipate] (CAS Reg. No. 9010-89-3).",," Ashland Inc."," Bostik"," The FCS will be used as an adhesive in multi-laminate structures, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS may be used in contact with all food types under Conditions of Use B through H as described in Tables 1 and 2. The FCS will be separated from food by at least 1 mil of linear low density polyethylene (LLDPE), or one or more authorized polymers having equivalent or better barrier properties. The FCS is not for use in contact with infant formula and breast milk. Such uses were not included as part of the intended use of the food contact substance in the FCN.",07/16/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1435"),,,,,," Calcium aluminum hydroxyl carbonate (CAS Reg. No. 65997-16-2).",," Nabaltec AG"," Nabaltec AG"," As an acid scavenger in food-contact polyolefin and polyvinyl chloride materials."," The FCS is intended for use at levels up to 0.05% in polyolefin materials and at levels up to 2% in polyvinyl chloride materials intended to contact all food types under Conditions of Use A through H as described in Table 2. Permitted uses in contact with infant formula and breast milk: the FCS may be used in articles intended for feeding infants.",07/24/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1436"),,,,,," Butene/ethylene copolymers (CAS Reg. No. 25087-34-7).",," LyondellBasell Industries"," LyondellBasell Industries"," As the basic polymer in the production of articles intended to contact food."," The FCS is a copolymer of 1-butene and ethylene such that the amount of polymer units derived from ethylene is more than 4.5 percent and no greater than 9.5 percent. The finished copolymers may be used in contact with all types of food under FDAs Conditions of Use A through H, as described in Tables 1 and 2. The density of the copolymers will range from 0.865  0.90 g/cm<sup>3</sup>. Additives permitted for use in butene polymers complying with 21 CFR 177.1570 or in olefin polymers complying with 21 CFR 177.1520(c), items 3.1 and 3.2 may also be used in the FCS, provided that the limitations and specifications on the use of the additives are met. Permitted uses in contact with infant formula and breast milk: The FCS may be used in repeated-use articles (excluding baby bottle nipples) intended for the feeding of infants (e.g., baby bottles).",10/16/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1437"),,,,,," Tin antimony oxide (CAS Reg. No. 12673-86-8), also known as tin antimony gray cassiterite.",," Nyacol Nano Technologies, Inc."," Nyacol Nano Technologies, Inc."," For use as a heating enhancer in authorized polyethylene terephthalate (PET) polymers in contact with all types of food including infant formula and breast milk."," For use at levels not to exceed 0.05 percent by weight of the polymer. The finished food-contact articles may contact all food, under Conditions of Use A through H, as defined in Table 2, subject to any restrictions or limitations on use of the PET.  Permitted uses include contact with infant food and breast milk.",07/26/2014," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("1439"),,,,,," Decanedioic acid, polymer with 1,10-decanediamine (CAS Reg. No. 27815-37-8).",," PSI.cube"," Evonik Industries AG"," As a basic polymer used in the production of articles intended to contact food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS may be used in contact with all types of food under Conditions of Use E through G, as described in Tables 1 and 2. The FCS may also be used in contact with all types of food in repeat use applications up to 100 &deg;C. The FCS is not for use in contact with infant formula and breast milk. Such uses were not included as part of the intended use of the substance in the FCN.  Adjuvant substances permitted for use in nylon polymers complying with 21 CFR 177.1500 may be used in the FCS subject to any limitations regarding conditions of use, food types, or any other limitation in the authorizing regulation or notification.",09/24/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1440"),,,,,," Dimethyl ether (CAS Reg. No. 115-10-6).",," Akzo Nobel Services Inc."," Nouryon Performance Formulations B.V."," As a solvent/processing aid in the production of pork collagen used in processed meat products."," The maximum residual amount of the FCS in collagen is 3 ppm.",10/25/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1441"),,,,,," Tungsten Oxide (CAS Reg. No. 39318-18-8).",," ColorMatrix Group, Polyone"," ColorMatrix Group, Polyone"," The FCS is intended for use as a reheat agent in polyethylene terephthalate (PET), except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS will have an oxygen content of between 19.3  20% and a particle size of between 0.25  20 µm. The FCS will be used at levels up to 75 ppm in PET bottles, thermoformed PET, and PET films intended to contact all Food Types under Conditions of Use C through G. The FCS is not for use in contact with infant formula and breast milk. Such uses were not included as part of the intended use of the substance in the FCN.",08/01/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1442"),,,,,," 2-Propenonic acid, polymer with 2,5-furandione, sodium salt (CAS Reg. No. 52255-49-9).",," Kemira Oyj"," Kemira Oyj"," As a dispersing agent in bleaching stabilizer formulations used in the mechanical pulp bleaching process of food-contact paper and paperboard manufacture, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at levels not to exceed 5.5 percent by weight in bleaching stabilizer formulations.  The bleaching stabilizer formulation will be added at the mechanical pulp bleaching step of paper and paperboard processing at a level of  6.0 kg formulation/metric ton of pulp. The finished paper and paperboard containing the FCS may contact all food types under Conditions of Use B through H, as described in Table 2. The FCS is not for use in contact with infant formula and breast milk.  Such uses were not included as part of the intended use of the substance in the FCN.",10/08/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
