FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"Diisoundecyl phthalate"	"306-165-8"	"96507-86-7"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-ethylheptyl) phthalate"	"274-344-7"	"70152-36-2"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Di-''isononyl'' phthalate"	"249-079-5"	"28553-12-0"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2,5-dimethylheptyl) phthalate"	"286-802-3"	"85391-48-6"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Isodecyl isononyl phthalate"	"285-916-0"	"85168-75-8"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"3-ethylheptyl 2,5-dimethylheptyl phthalate"	"307-707-6"	"97692-55-2"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	"-"	"-"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	""	""	"As the sum of the substances"	
"3-ethylheptyl 6-methyloctyl phthalate"	"288-639-3"	"85851-80-5"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	""	""	"As the sum of the substances"	
"Bis(8-methylnonyl) phthalate"	"201-884-2"	"89-16-7"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	""	""	"As the sum of the substances"	
"Bis(2-propylheptyl) phthalate"	"258-469-4"	"53306-54-0"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	""	""	"As the sum of the substances"	
"Bis(2,5-dimethylheptyl) phthalate"	"286-802-3"	"85391-48-6"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	""	""	"As the sum of the substances"	
